time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program
0.687193107,5454,715929,35369,88154,4111620,1,fallout
0.697440069,5440,716718,35463,88707,4119784,1,fallout
0.707688251,5481,714324,35419,89402,4104606,1,fallout
0.717936471,5438,716879,35362,87694,4118602,1,fallout
0.728184556,5420,715247,35429,88193,4109769,1,fallout
0.738434453,5477,715630,35389,88726,4110791,1,fallout
0.748678723,5532,716527,35448,88184,4117362,1,fallout
0.758926327,5560,715746,35471,88129,4114001,1,fallout
0.7691724,5433,717697,35395,88828,4118591,1,fallout
0.779418561,5386,715491,35401,88074,4113123,1,fallout
0.789628514,5459,710562,35251,87782,4084423,1,fallout
0.799899136,5547,716480,35417,90098,4118291,1,fallout
0.810156663,5681,722460,35444,89545,4143272,1,fallout
0.820405681,5445,711645,35426,89332,4092638,1,fallout
0.830652128,5494,715928,35409,89189,4115503,1,fallout
0.840899521,5445,717019,35383,89863,4115799,1,fallout
0.851145659,5525,717458,35380,88629,4118991,1,fallout
0.861398396,5489,716841,35451,88979,4120136,1,fallout
0.871644438,5438,714372,35433,88806,4107327,1,fallout
0.881889519,5473,714090,35366,88503,4105756,1,fallout
0.892137411,5444,715772,35407,89246,4112855,1,fallout
0.902383653,5478,717004,35375,91047,4115896,1,fallout
0.91263146,5502,718691,35448,90074,4127679,1,fallout
0.922880389,5507,714672,35421,88357,4106961,1,fallout
0.933130693,5599,714386,35413,91022,4103488,1,fallout
0.943387071,5476,721805,35419,91600,4139556,1,fallout
0.953634274,5453,718924,35368,90960,4122580,1,fallout
0.96388609,5511,720641,35393,91930,4135278,1,fallout
0.974132451,5480,720753,35526,90991,4132357,1,fallout
0.9843796,5389,718972,35332,89663,4121902,1,fallout
0.994626339,5404,719621,35377,90363,4129529,1,fallout
1.00487419,5313,714993,35426,90160,4105631,1,fallout
0.410358357,4771,661716,36137,87414,3847876,1,fallout
0.420695586,6345,712041,35653,87246,4102934,1,fallout
0.430947219,5543,708762,35473,86718,4087391,1,fallout
0.441196029,5416,709789,35566,85785,4091849,1,fallout
0.451447208,5321,707953,35451,86088,4081891,1,fallout
0.461694882,5374,709826,35468,85719,4092317,1,fallout
0.471948689,5564,711678,35468,86343,4097053,1,fallout
0.482209699,5351,711538,35463,85739,4097920,1,fallout
0.492457394,5329,712760,35496,86924,4101981,1,fallout
0.502706278,5492,713788,35474,87953,4105381,1,fallout
0.512957872,5420,718324,35698,87798,4133913,1,fallout
0.523208005,5510,730273,36533,89981,4205760,1,fallout
0.533451502,5477,730284,36453,88982,4203040,1,fallout
0.543705235,5611,733021,36414,89837,4217862,1,fallout
0.553953552,5410,719139,35869,88219,4140715,1,fallout
0.564200631,5366,712320,35549,87715,4103369,1,fallout
0.574451397,5339,716119,35501,88381,4117205,1,fallout
0.584702617,5215,711907,35441,87627,4096928,1,fallout
0.59494927,5257,712465,35438,87034,4102669,1,fallout
0.605196792,5481,716129,35580,86581,4117234,1,fallout
0.615449419,5537,714268,35629,87729,4112303,1,fallout
0.62569443,5530,734267,36509,91263,4224419,1,fallout
0.635949018,5585,736753,36498,93509,4231332,1,fallout
0.646192289,5494,736766,36466,92299,4234471,1,fallout
0.656433539,5520,733711,36439,92567,4217298,1,fallout
0.666674319,5421,734812,36414,91269,4223210,1,fallout
0.676926239,5598,736433,36485,92833,4231909,1,fallout
0.687171128,5464,735591,36478,91408,4227004,1,fallout
0.697417285,5487,731893,36474,90920,4211850,1,fallout
0.707660666,5499,735074,36521,92754,4223847,1,fallout
0.717906333,5436,735299,36429,92172,4225350,1,fallout
0.728151256,5517,736449,36465,91285,4232590,1,fallout
0.738392902,5478,734283,36530,90173,4222175,1,fallout
0.748635479,5506,733631,36473,92019,4219161,1,fallout
0.758878222,5535,735826,36457,92972,4228965,1,fallout
0.769120666,5515,737285,36495,91595,4233488,1,fallout
0.779362771,5484,734072,36389,91530,4220698,1,fallout
0.789603806,5571,734581,36423,91191,4220550,1,fallout
0.799851045,5487,734377,36457,91504,4220585,1,fallout
0.810103527,5517,738013,36510,92321,4241818,1,fallout
0.820350236,5478,734948,36503,92185,4223392,1,fallout
0.830595172,5477,732561,36455,91308,4215333,1,fallout
0.840836989,5420,736926,36515,90851,4231848,1,fallout
0.85107906,5374,733315,36477,91098,4216348,1,fallout
0.861322646,5410,734469,36453,90542,4224202,1,fallout
0.871564686,5501,736985,36488,90850,4233612,1,fallout
0.881796482,5472,732348,36412,91732,4212749,1,fallout
0.89203944,5718,738583,36507,93158,4238278,1,fallout
0.902283041,5452,735717,36424,92334,4226129,1,fallout
0.912528228,5842,728968,36144,90664,4187747,1,fallout
0.922784761,5672,733593,36496,92291,4212836,1,fallout
0.933033675,5716,739612,36400,93131,4241976,1,fallout
0.943284114,5783,740980,36450,93338,4248352,1,fallout
0.953528225,5424,733832,36449,92505,4215642,1,fallout
0.963770638,5470,739757,36417,93014,4242286,1,fallout
0.974013168,5592,740171,36469,93496,4244134,1,fallout
0.410359817,4994,659611,36066,88342,3836067,1,fallout
0.420706287,6453,712521,35769,89675,4106677,1,fallout
0.430958735,5666,708648,35497,89242,4087722,1,fallout
0.441212576,5451,708268,35512,88734,4082695,1,fallout
0.45145723,5438,708285,35403,87027,4082428,1,fallout
0.461703645,5369,711771,35504,88358,4101407,1,fallout
0.471963148,5601,711553,35467,88794,4097920,1,fallout
0.48221099,5410,713503,35480,89763,4107509,1,fallout
0.492456359,5360,710647,35416,90648,4090343,1,fallout
0.502702312,5517,711774,35411,88719,4096034,1,fallout
0.512952305,5439,713632,35514,88372,4106681,1,fallout
0.523197793,5208,711379,35409,88499,4093423,1,fallout
0.533442722,5231,713190,35491,89085,4103471,1,fallout
0.543706354,5434,714634,35484,89677,4112198,1,fallout
0.553954054,5228,712051,35428,89210,4096598,1,fallout
0.564199042,5612,714021,35491,88758,4108898,1,fallout
0.574461246,5421,714735,35515,88339,4110446,1,fallout
0.584709274,5333,713563,35496,87761,4105534,1,fallout
